16 04 1950	7.8375 13.337501 4.6999993 2.959227
17 04 1950	5.9875 16.0875 0.0 3.649007
18 04 1950	6.0375004 15.7375 0.3 3.1542714
19 04 1950	10.4375 13.7875 10.6 1.3086376
20 04 1950	9.4375 16.0375 7.1 2.9554098
21 04 1950	8.9375 14.5375 6.6 2.112721
22 04 1950	8.3875 16.2375 2.1999998 2.3819227
23 04 1950	10.4375 14.1875 2.4 2.2319245
24 04 1950	9.9875 15.1875 2.5 2.61361
25 04 1950	7.0375004 16.1875 1.3000002 3.196941
26 04 1950	4.8875003 17.637499 0.0 4.0822964
27 04 1950	9.8875 19.137499 1.0 2.683201
28 04 1950	9.3875 17.3375 2.4 4.080788
29 04 1950	6.4875 18.287498 0.0 3.9031024
30 04 1950	6.2875004 21.3375 0.0 4.5708885
01 05 1950	7.7875004 21.4375 0.0 4.3459916
02 05 1950	9.087501 21.0875 0.0 4.006706
03 05 1950	9.1375 22.9375 0.2 4.395778
04 05 1950	11.2875 21.0875 0.1 4.259413
05 05 1950	8.6375 20.5875 0.0 4.293874
06 05 1950	9.1375 21.6875 0.0 4.2563443
07 05 1950	11.337501 20.3375 0.0 3.943183
08 05 1950	10.4875 21.3375 0.0 4.086435
09 05 1950	10.1875 21.7375 0.0 4.5919485
10 05 1950	11.837501 22.2375 0.0 4.61029
11 05 1950	10.837501 22.887499 0.0 4.731618
12 05 1950	10.0375 22.887499 1.2 4.4380636
13 05 1950	14.337501 17.387499 9.4 1.862553
14 05 1950	13.3875 22.1875 0.0 4.374601
15 05 1950	10.7875 22.037498 0.0 4.312897
16 05 1950	11.5375 22.887499 0.0 4.4430637
17 05 1950	14.1375 22.787498 0.0 4.492973
18 05 1950	12.5375 21.6875 2.5000002 2.830982
19 05 1950	13.7875 24.787498 2.8 4.818545
20 05 1950	14.087501 24.037498 0.0 5.0064416
21 05 1950	14.2875 25.537498 0.0 5.441506
22 05 1950	14.9875 27.4875 0.0 5.3794174
23 05 1950	17.2375 28.637499 0.0 4.904114
24 05 1950	14.3875 26.8375 0.0 5.0892725
25 05 1950	15.9875 29.4875 0.0 6.0201287
26 05 1950	16.8375 28.2375 0.0 6.124262
27 05 1950	15.587501 27.037498 0.0 5.516377
28 05 1950	15.587501 27.3375 0.4 5.067463
29 05 1950	13.4875 26.1875 0.0 5.8884444
30 05 1950	13.087501 26.637499 0.0 4.6553063
31 05 1950	16.387499 27.1875 0.0 6.215253
01 06 1950	17.887499 27.037498 0.0 5.3772783
02 06 1950	15.8875 28.387499 0.0 5.7266555
03 06 1950	17.037498 28.2375 0.0 5.5535183
04 06 1950	18.4875 28.6875 0.0 5.6481695
05 06 1950	16.7375 28.287498 2.3999999 4.784828
06 06 1950	17.037498 25.9375 0.0 4.9078817
07 06 1950	14.9875 27.0875 0.0 5.8995757
08 06 1950	13.1375 26.787498 0.0 6.34952
09 06 1950	15.7875 27.8375 0.0 6.043105
10 06 1950	15.9875 29.137499 0.0 6.269577
11 06 1950	17.387499 31.387499 0.0 6.793019
12 06 1950	20.4875 32.3875 0.1 5.745331
13 06 1950	19.7375 30.4375 0.1 5.8222914
14 06 1950	18.4375 30.4375 0.0 7.0211806
15 06 1950	17.0875 30.387499 0.0 6.5890846
16 06 1950	15.9875 31.287498 0.0 6.650481
17 06 1950	19.2375 34.3875 3.1 6.3504424
18 06 1950	16.787498 27.887499 1.2 5.4707546
19 06 1950	15.2375 28.637499 0.0 6.040847
